MyUnknownColumn,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
3861,26.0,Female,Master's Degree,Human Resources Coordinator,3.0,50000.0,Canada,Black
4940,28.0,Female,PhD,Director of Marketing,6.0,105000.0,Australia,Australian
135,39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,Canada,Black
6574,36.0,Male,Bachelor's Degree,Sales Director,6.0,75000.0,Australia,Australian
3978,25.0,Female,Bachelor's Degree,Junior Software Developer,1.0,35000.0,UK,Asian
1556,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,China,White
6021,35.0,Female,PhD,Research Director,12.0,175000.0,Canada,Black
4461,30.0,Female,High School,Junior Sales Associate,1.0,25000.0,UK,Mixed
3241,27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,Canada,White
2133,27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,Australia,Asian
1416,57.0,Male,PhD,Software Engineer Manager,18.0,200000.0,Australia,Australian
2318,26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,USA,Hispanic
5632,24.0,Female,Bachelor's Degree,Marketing Analyst,0.0,40000.0,UK,White
3247,37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,China,Korean
809,28.0,Female,Bachelor's,Software Engineer,5.0,160000.0,UK,Welsh
464,29.0,Male,Bachelor's,Software Engineer,4.0,140000.0,USA,Hispanic
881,27.0,Male,Bachelor's,Software Engineer,4.0,140000.0,Canada,Asian
6001,28.0,Female,Bachelor's Degree,Marketing Analyst,3.0,60000.0,China,Chinese
4079,39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0,China,Chinese
5038,34.0,Male,PhD,Director of Marketing,12.0,170000.0,China,Chinese
3322,25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,Canada,Black
5209,39.0,Female,Master's Degree,Marketing Manager,12.0,150000.0,UK,Asian
801,29.0,Female,Master's,Data Scientist,6.0,180000.0,Australia,Australian
356,45.0,Female,PhD,Senior UX Designer,16.0,160000.0,UK,Asian
1837,31.0,Male,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,Canada,Asian
1075,32.0,Male,Bachelor's,Software Engineer,8.0,180000.0,USA,Hispanic
2340,23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,China,Korean
2707,26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,China,White
144,25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,Australia,Asian
382,25.0,Female,Master's,Data Analyst,1.0,100000.0,China,White
1342,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0,USA,African American
2156,34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,Australia,White
5994,29.0,Male,Bachelor's Degree,Marketing Analyst,4.0,70000.0,Canada,Asian
121,53.0,Male,Master's,Director of Marketing,25.0,180000.0,UK,Mixed
4210,36.0,Female,Master's Degree,Marketing Manager,11.0,117000.0,Canada,Asian
1362,32.0,Male,Master's Degree,Back end Developer,6.0,130000.0,Australia,Asian
420,25.0,Female,Master's,Data Analyst,1.0,100000.0,Canada,Black
5793,39.0,Female,Bachelor's Degree,Financial Manager,16.0,200000.0,Australia,Australian
5276,28.0,Male,Bachelor's Degree,Software Engineer,3.0,85000.0,UK,Welsh
3829,35.0,Female,Master's Degree,Marketing Coordinator,8.0,85000.0,Canada,Black
5288,33.0,Male,PhD,Research Scientist,10.0,150000.0,China,White
6301,27.0,Female,High School,Sales Representative,3.0,40000.0,Canada,White
557,34.0,Female,Master's,Product Manager,12.0,196000.0,UK,Mixed
1658,44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,Canada,Black
